statefips,year,ajd_total,jdd_total,ajd_female,ajd_male,jdd_female,jdd_male,pop_total,pop_female,pop_male
13,1993,-4997,159584,-5430.098528310657,5422.098566144705,69716.25388991833,78429.7491966486,6817203,3500785,3316418
15,1993,-2841,20776,0,0,0,0,1158613,569193,589420
16,1993,-5547,14800,-1975.936147719622,-1565.063699841499,6416.152151107788,6693.847787618637,1071685,537351,534334
17,1993,9216,239414,4965.567217946053,7639.433913111687,105692.8838002682,118580.127797842,11694184,6004102,5690082
18,1993,-26609,94500,-11857.4236997962,-8937.576094269753,40739.24324536324,47350.75784766674,5674547,2916968,2757579
19,1993,-7172,44925,-1373.120363116264,-1933.879377901554,20556.94023883343,20050.05918157101,2818401,1449334,1369067
20,1993,-8732,41744,-5521.06987118721,-2941.930230025202,15929.01079797745,19158.98898148537,2532394,1287831,1244563
21,1993,-5606,52774,-3266.337900303304,-1946.661566913128,21120.49308907986,25719.5078766346,3765469,1938797,1826672
22,1993,-307,74477,-916.3480508327484,1243.348203107715,29804.75791525841,36397.2417075634,4293003,2223085,2069918
23,1993,1599,22001,489.5037099123001,1115.496501803398,10077.41886901855,10983.5816116333,1238508,635859,602649
24,1993,3585,98336,172.6330256462097,4850.366940259933,42505.04207992554,49804.95825195313,4923368,2537414,2385954
25,1993,590,129722,-2064.317041397095,4095.31746673584,57887.45920562744,65489.54483795166,6028709,3131736,2896973
26,1993,-7003,142185,-5896.438398241997,560.438542380929,62010.59689712524,70153.40189027786,9479065,4865801,4613264
27,1993,-11148,81771,-6806.796087086201,-2185.203664302826,34197.92440766096,38701.07404065132,4495572,2286094,2209478
28,1993,421,34233,-98.10350117087364,-243.8964065909386,13124.05342245102,15688.94686055183,2623734,1366617,1257117
29,1993,-9141,89810,-6452.539380937815,-2573.460427463055,37247.61534357071,43412.38391554356,5217101,2698435,2518666
30,1993,-1575,12509,-328.1198409199715,-999.8801026344299,5721.373297512531,5059.626769900322,825770,415959,409811
